"Symbol","Name","Last Price","Change $","Change %","Bid","Ask","Day's Range","52 Week Range","Volume","Last Trade (ET)"
"XLB","SPDR FUND MATERIALS SELECT SECTR ETF","$90.87","+0.30","+0.33%","$90.87","$90.88","Min $90.58 - Max $91.08","Min $74.33 - Max $93.715","816,001","12:21:16 PM"
"XLF","SELECT STR FINANCIAL SELECT SPDR ETF","$43.935","+0.165","+0.38%","$43.93","$43.94","Min $43.78 - Max $44.02","Min $31.355 - Max $44.1099","9,025,935","12:21:24 PM"
"XLI","SELECT SECTOR INDUSTRIAL SPDR ETF","$127.525","+0.555","+0.44%","$127.52","$127.53","Min $126.94 - Max $127.58","Min $96.115 - Max $129.075","1,209,288","12:21:19 PM"
"XLK","TECHNOLOGY SELECT SECTOR SPDR ETF","$222.18","+0.78","+0.35%","$222.18","$222.20","Min $219.98 - Max $222.52","Min $159.50 - Max $238.14","1,660,324","12:21:25 PM"
"XLP","SPDR FUND CONSUMER STAPLES ETF","$80.83","+0.32","+0.40%","$80.82","$80.83","Min $80.565 - Max $80.885","Min $65.18 - Max $80.885","2,735,582","12:21:16 PM"
"XLRE","REAL ESTATE SELECT SCTR SPDR ETF","$42.0747","+0.2147","+0.51%","$42.07","$42.08","Min $41.835 - Max $42.15","Min $31.99 - Max $42.30","1,705,420","12:21:21 PM"
"XLU","SELECT SECTOR UTI SELECT SPDR ETF","$74.92","+0.48","+0.64%","$74.92","$74.93","Min $74.45 - Max $74.98","Min $54.77 - Max $75.56","2,249,838","12:21:20 PM"
"XLV","SELECT SECTOR HEALTH CARE SPDR ETF","$153.675","+0.805","+0.53%","$153.66","$153.67","Min $152.79 - Max $153.935","Min $122.59 - Max $153.935","2,340,483","12:21:09 PM"
"XLY","SPDR FUND CONSUMER DISCRE SELECT ETF","$184.57","+1.44","+0.79%","$184.58","$184.59","Min $183.421 - Max $184.72","Min $147.83 - Max $194.79","812,499","12:21:16 PM"
"XLE","ENERGY SELECT SECTOR SPDR ETF","$91.235","+0.765","+0.85%","$91.23","$91.24","Min $90.62 - Max $91.85","Min $78.9823 - Max $98.97","4,973,453","12:21:25 PM"
"XRT","SPDR S&P RETAIL ETF","$77.32","+0.23","+0.30%","$77.32","$77.33","Min $76.95 - Max $77.56","Min $57.48 - Max $80.10","1,870,875","12:21:18 PM"
"QQQ","INVSC QQQ TRUST SRS 1 ETF","$476.45","+1.42","+0.30%","$476.43","$476.45","Min $473.37 - Max $476.95","Min $342.35 - Max $503.52","9,802,601","12:21:26 PM"
"TQQQ","PROSHARES ULTRAPRO QQQ ETF","$69.245","+0.605","+0.88%","$69.24","$69.25","Min $67.885 - Max $69.46","Min $30.47 - Max $85.20","26,641,484","12:21:25 PM"
"SQQQ","PROSHARES ULTRAPRO SHORT QQQ ETF","$8.1751","-0.0549","-0.67%","$8.17","$8.18","Min $8.15 - Max $8.34","Min $7.14 - Max $23.34","70,657,714","12:21:22 PM"
"SPY","SPDR S&P 500 ETF","$556.59","+2.28","+0.41%","$556.58","$556.59","Min $553.86 - Max $556.96","Min $409.21 - Max $565.16","12,896,758","12:21:26 PM"
