Symbol,Name,Sector
A,"Agilent Technologies, Inc.",Healthcare
AAPL,Apple Inc.,Technology
ABBV,AbbVie Inc.,Healthcare
ABNB,"Airbnb, Inc.",Consumer Cyclical
ABT,Abbott Laboratories,Healthcare
ACGL,Arch Capital Group Ltd.,Financial Services
ACN,Accenture plc,Technology
ADBE,Adobe Inc.,Technology
ADI,"Analog Devices, Inc.",Technology
ADM,Archer-Daniels-Midland Company,Consumer Defensive
ADP,"Automatic Data Processing, Inc.",Technology
ADSK,"Autodesk, Inc.",Technology
AEE,Ameren Corporation,Utilities
AEP,American Electric Power Company,Utilities
AES,The AES Corporation,Utilities
AFL,AFLAC Incorporated,Financial Services
AIG,"American International Group, I",Financial Services
AIZ,"Assurant, Inc.",Financial Services
AJG,Arthur J. Gallagher & Co.,Financial Services
AKAM,"Akamai Technologies, Inc.",Technology
ALB,Albemarle Corporation,Basic Materials
ALGN,"Align Technology, Inc.",Healthcare
ALL,Allstate Corporation (The),Financial Services
ALLE,Allegion plc,Industrials
AMAT,"Applied Materials, Inc.",Technology
AMCR,Amcor plc,Consumer Cyclical
AMD,"Advanced Micro Devices, Inc.",Technology
AME,"AMETEK, Inc.",Industrials
AMGN,Amgen Inc.,Healthcare
AMP,"Ameriprise Financial, Inc.",Financial Services
AMT,American Tower Corporation (REI,Real Estate
AMTM,"Amentum Holdings, Inc.",Industrials
AMZN,"Amazon.com, Inc.",Consumer Cyclical
ANET,"Arista Networks, Inc.",Technology
ANSS,"ANSYS, Inc.",Technology
AON,Aon plc,Financial Services
AOS,A.O. Smith Corporation,Industrials
APA,APA Corporation,Energy
APD,"Air Products and Chemicals, Inc",Basic Materials
APH,Amphenol Corporation,Technology
APTV,Aptiv PLC,Consumer Cyclical
ARE,Alexandria Real Estate Equities,Real Estate
ATO,Atmos Energy Corporation,Utilities
AVB,"AvalonBay Communities, Inc.",Real Estate
AVGO,Broadcom Inc.,Technology
AVY,Avery Dennison Corporation,Consumer Cyclical
AWK,"American Water Works Company, I",Utilities
AXON,"Axon Enterprise, Inc.",Industrials
AXP,American Express Company,Financial Services
AZO,"AutoZone, Inc.",Consumer Cyclical
BA,Boeing Company (The),Industrials
BAC,Bank of America Corporation,Financial Services
BALL,Ball Corporation,Consumer Cyclical
BAX,Baxter International Inc.,Healthcare
BBY,"Best Buy Co., Inc.",Consumer Cyclical
BDX,"Becton, Dickinson and Company",Healthcare
BEN,"Franklin Resources, Inc.",Financial Services
BF-B,Brown Forman Inc,Consumer Defensive
BG,Bunge Limited,Consumer Defensive
BIIB,Biogen Inc.,Healthcare
BK,The Bank of New York Mellon Cor,Financial Services
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical
BKR,Baker Hughes Company,Energy
BLDR,"Builders FirstSource, Inc.",Industrials
BLK,"BlackRock, Inc.",Financial Services
BMY,Bristol-Myers Squibb Company,Healthcare
BR,"Broadridge Financial Solutions,",Technology
BRK-B,Berkshire Hathaway Inc. New,Financial Services
BRO,"Brown & Brown, Inc.",Financial Services
BSX,Boston Scientific Corporation,Healthcare
BWA,BorgWarner Inc.,Consumer Cyclical
BX,Blackstone Inc.,Financial Services
BXP,"BXP, Inc.",Real Estate
C,"Citigroup, Inc.",Financial Services
CAG,"ConAgra Brands, Inc.",Consumer Defensive
CAH,"Cardinal Health, Inc.",Healthcare
CARR,Carrier Global Corporation,Industrials
CAT,"Caterpillar, Inc.",Industrials
CB,Chubb Limited,Financial Services
CBOE,"Cboe Global Markets, Inc.",Financial Services
CBRE,CBRE Group Inc,Real Estate
CCI,Crown Castle Inc.,Real Estate
CCL,Carnival Corporation,Consumer Cyclical
