"Symbol","Last Price","Change $","Change %","Bid","Ask","Day's Range","52 Week Range","Volume","Last Trade (ET)"
"AAPL, APPLE INC","$189.90","+0.06","+0.03%","$189.90","$189.92","Min $189.18 - Max $190.81","Min $164.075 - Max $199.62","41,282,925","05/17/2024"
"BA, BOEING CO","$184.27","+1.31","+0.72%","$184.25","$184.38","Min $181.22 - Max $185.3799","Min $159.70 - Max $267.54","5,562,368","05/17/2024"
"NFLX, NETFLIX INC","$621.50","+10.98","+1.80%","$620.31","$622.00","Min $614.7141 - Max $625.79","Min $344.73 - Max $639.00","3,782,708","05/17/2024"
"AMD, ADVANCED MICRO DEVIC","$164.41","+1.79","+1.10%","$164.39","$164.41","Min $162.32 - Max $169.72","Min $93.115 - Max $227.30","65,944,362","05/17/2024"
"TSLA, TESLA INC","$177.55","+2.71","+1.55%","$177.56","$177.60","Min $172.75 - Max $179.63","Min $138.8025 - Max $299.29","77,445,845","05/17/2024"
"MGM, MGM RESORTS INTL","$41.00","-0.65","-1.56%","$41.00","$41.03","Min $40.96 - Max $41.91","Min $34.12 - Max $51.35","2,705,622","05/17/2024"
"GOOG, ALPHABET INC. C","$177.30","+1.87","+1.07%","$177.30","$177.38","Min $174.98 - Max $177.495","Min $115.83 - Max $177.495","16,546,353","05/17/2024"
"MU, MICRON TECHNOLOGY","$125.60","-2.29","-1.79%","$125.40","$125.70","Min $124.86 - Max $129.03","Min $60.50 - Max $130.5431","13,774,737","05/17/2024"
"CRWD, CROWDSTRIKE HLDGS IN A","$346.76","+7.70","+2.27%","$346.51","$346.90","Min $338.71 - Max $346.2799","Min $137.23 - Max $365.00","2,044,947","05/17/2024"
"SNAP, SNAP INC A","$16.055","+0.035","+0.22%","$16.04","$16.07","Min $15.93 - Max $16.255","Min $8.28 - Max $17.90","12,200,017","05/17/2024"
"PENN, PENN ENTMT INC","$15.94","0.00","0.00","$15.85","$15.95","Min $15.684 - Max $16.02","Min $13.50 - Max $29.38","5,024,610","05/17/2024"
